tail,head,optflow,unitcost,fixedcost
0,4,0,7.8575,1.3236
0,23,0,4.6274,4.7465
0,26,0,6.7012,3.0301
0,31,0,4.1797,1.2135
0,34,0,10.8078,2.4175
0,40,0,1.6392,2.7307
0,46,0,8.3092,9.5778
0,59,0,6.073,5.7574
0,60,0,2.0552,9.2245
0,61,0,7.7552,9.3937
0,65,0,7.3026,7.1065
0,66,0,5.5583,4.4488
0,84,0,7.5457,1.0871
0,85,0,10.0655,2.632
0,95,0,9.8045,10.5404
0,99,0,3.8106,1.6844
0,110,0,1.5225,9.3167
0,114,0,5.7342,6.775
0,132,0,5.1021,10.7012
0,145,0,7.3796,1.1887
0,147,8,2.8196,3.7873
0,154,0,9.3411,1.8651
0,161,0,8.0626,2.6088
0,162,0,3.1746,9.5505
0,173,9,4.4426,1.0012
0,186,0,3.1954,4.8083
0,195,0,2.2385,7.4273
1,3,0,1.7351,6.2212
1,7,0,7.9391,4.2551
1,17,0,4.3145,10.5312
1,27,0,10.8317,1.4588
1,42,0,1.3833,3.3098
1,52,0,4.1237,10.1707
1,64,0,7.7808,4.0346
1,67,0,9.2202,1.0306
1,71,0,3.9255,3.2325
1,80,0,9.8575,6.9889
1,81,0,10.0724,2.4523
1,94,0,8.0472,6.8439
1,97,0,3.7088,8.1396
1,108,0,9.5655,6.2748
1,109,0,5.3301,8.033
1,115,0,10.6618,9.1214
1,116,0,3.4562,1.6531
1,119,9,2.5176,4.4135
1,125,0,7.7649,7.9353
1,134,0,4.3027,1.1108
1,139,0,4.8639,5.0149
1,152,0,2.2689,6.9913
1,157,0,1.6092,10.3927
1,160,0,10.8368,2.5865
1,170,0,4.0347,8.4259
1,182,0,8.7824,8.4699
1,185,0,8.3227,1.6206
1,188,0,3.1741,10.404
2,8,0,4.5099,8.1465
2,14,0,3.6411,5.0033
2,22,0,6.1598,6.6009
2,32,0,7.4548,3.1642
2,38,0,10.2484,4.1909
2,39,0,2.858,2.9307
2,41,0,4.0471,5.6118
2,44,0,6.3138,5.3415
2,45,0,3.9458,5.2634
2,47,0,10.4234,6.4237
2,68,0,10.6693,7.3579
2,74,0,10.7311,8.6999
2,82,0,7.544,9.9165
2,86,0,4.4236,3.2607
2,92,0,2.605,10.3702
2,96,0,9.1564,8.9552
